Tag	F1	Method
1_0.5-0.55	0.99999250003125	MCC
1_0.5-0.55	0.99999250003125	MCC
1_0.5-0.55	0.99999250003125	MCC
1_0.5-0.55	0.99999250003125	MCC
1_0.5-0.55	0.99999250003125	MCC
1_0.5-0.55	0.99999250003125	MCC
1_0.5-0.55	0.99999250003125	MCC
1_0.5-0.55	0.99999250003125	MCC
1_0.5-0.55	0.99999250003125	MCC
2_0.55-0.60	0.99999250003125	MCC
2_0.55-0.60	0.99999250003125	MCC
2_0.55-0.60	0.99999250003125	MCC
2_0.55-0.60	0.99999250003125	MCC
2_0.55-0.60	0.99999250003125	MCC
2_0.55-0.60	0.99999250003125	MCC
2_0.55-0.60	0.99999250003125	MCC
2_0.55-0.60	0.888881975340192	MCC
2_0.55-0.60	0.888881975340192	MCC
2_0.55-0.60	0.888881975340192	MCC
2_0.55-0.60	0.888881975340192	MCC
3_0.60-0.65	0.99999250003125	MCC
3_0.60-0.65	0.888881975340192	MCC
3_0.60-0.65	0.888881975340192	MCC
3_0.60-0.65	0.888881975340192	MCC
3_0.60-0.65	0.99999250003125	MCC
3_0.60-0.65	0.888881975340192	MCC
3_0.60-0.65	0.888881975340192	MCC
3_0.60-0.65	0.888881975340192	MCC
3_0.60-0.65	0.888881975340192	MCC
3_0.60-0.65	0.888881975340192	MCC
3_0.60-0.65	0.888881975340192	MCC
3_0.60-0.65	0.99999250003125	MCC
3_0.60-0.65	0.888881975340192	MCC
4_0.65-0.70	0.888881975340192	MCC
4_0.65-0.70	0.888881975340192	MCC
4_0.65-0.70	0.888881975340192	MCC
4_0.65-0.70	0.888881975340192	MCC
4_0.65-0.70	0.888881975340192	MCC
4_0.65-0.70	0.888881975340192	MCC
4_0.65-0.70	0.888881975340192	MCC
4_0.65-0.70	0.99999250003125	MCC
4_0.65-0.70	0.99999250003125	MCC
5_0.70-0.75	0.888881975340192	MCC
5_0.70-0.75	0.888881975340192	MCC
5_0.70-0.75	0.666661111140741	MCC
5_0.70-0.75	0.7999936000312	MCC
5_0.70-0.75	0.7999936000312	MCC
5_0.70-0.75	0.727266776890007	MCC
5_0.70-0.75	0.888881975340192	MCC
6_0.75-0.80	0.727266776890007	MCC
6_0.75-0.80	0.727266776890007	MCC
6_0.75-0.80	0.727266776890007	MCC
6_0.75-0.80	0.666661111140741	MCC
6_0.75-0.80	0.7999936000312	MCC
6_0.75-0.80	0.7999936000312	MCC
6_0.75-0.80	0.666661111140741	MCC
6_0.75-0.80	0.727266776890007	MCC
6_0.75-0.80	0.727266776890007	MCC
7_0.80-0.85	0.727266776890007	MCC
7_0.80-0.85	0.666661111140741	MCC
7_0.80-0.85	0.666661111140741	MCC
7_0.80-0.85	0.727266776890007	MCC
7_0.80-0.85	0.7999936000312	MCC
7_0.80-0.85	0.666661111140741	MCC
7_0.80-0.85	0.666661111140741	MCC
7_0.80-0.85	0.727266776890007	MCC
8_0.85-0.9	0.727266776890007	MCC
8_0.85-0.9	0.727266776890007	MCC
8_0.85-0.9	0.727266776890007	MCC
