Tag	TP	FP	FN	Method
8_0.90-0.95	1	1	0	DREME
8_0.95-1	1	1	0	DREME
1_0.5-0.55	1	0	0	DREME
8_0.85-0.9	1	1	0	DREME
7_0.80-0.85	1	1	0	DREME
2_0.55-0.60	1	0.295454545454545	0	DREME
5_0.70-0.75	1	1	0	DREME
4_0.65-0.70	1	0.972222222222222	0	DREME
3_0.60-0.65	1	0.807692307692308	0	DREME
6_0.75-0.80	1	1	0	DREME
8_0.90-0.95	0.964285714285714	0.964285714285714	0	MCC
8_0.95-1	0.977272727272727	0.954545454545455	0	MCC
1_0.5-0.55	1	0	0	MCC
8_0.85-0.9	1	0.85	0	MCC
7_0.80-0.85	1	0.84375	0	MCC
2_0.55-0.60	1	0.0909090909090909	0	MCC
5_0.70-0.75	1	0.5	0	MCC
4_0.65-0.70	1	0.194444444444444	0	MCC
3_0.60-0.65	1	0.192307692307692	0	MCC
6_0.75-0.80	1	0.75	0	MCC
8_0.90-0.95	0.785714285714286	0	0.214285714285714	SeqUnwinder
8_0.95-1	0.5	0	0.5	SeqUnwinder
1_0.5-0.55	0.916666666666667	0	0.0833333333333333	SeqUnwinder
8_0.85-0.9	0.816666666666667	0.0166666666666667	0.166666666666667	SeqUnwinder
7_0.80-0.85	0.84375	0	0.15625	SeqUnwinder
2_0.55-0.60	0.840909090909091	0	0.159090909090909	SeqUnwinder
5_0.70-0.75	0.821428571428571	0	0.178571428571429	SeqUnwinder
4_0.65-0.70	0.833333333333333	0	0.166666666666667	SeqUnwinder
3_0.60-0.65	0.942307692307692	0	0.0576923076923077	SeqUnwinder
6_0.75-0.80	0.805555555555556	0	0.194444444444444	SeqUnwinder
