Score	Fac	Class	Model
-0.09420334246646982	Onecut	shared	SeqUnwinder
-0.006563871188690719	Onecut	inactive	SeqUnwinder
0.5910368929256521	Onecut	late	SeqUnwinder
-0.01002151589453508	Onecut	active	SeqUnwinder
-0.4600007505816548	Onecut	early	SeqUnwinder
-0.08277900707794604	Oct4	shared	SeqUnwinder
-0.010775872654614617	Oct4	inactive	SeqUnwinder
-0.057073747867738556	Oct4	late	SeqUnwinder
-0.014812742149653902	Oct4	active	SeqUnwinder
0.23742186855514186	Oct4	early	SeqUnwinder
-0.3833822967364253	Zfp281	shared	SeqUnwinder
-0.14448724933714524	Zfp281	inactive	SeqUnwinder
-0.9525182443233972	Zfp281	late	SeqUnwinder
0.16258659064076958	Zfp281	active	SeqUnwinder
-0.2170316247139526	Zfp281	early	SeqUnwinder
0.42248394145542423	Lhx3	shared	SeqUnwinder
-8.070544195834843E-4	Lhx3	inactive	SeqUnwinder
-0.3988280296063473	Lhx3	late	SeqUnwinder
-0.06367962578515243	Lhx3	active	SeqUnwinder
-0.47864907342285634	Lhx3	early	SeqUnwinder
-0.03598992701540289	Onecut	active	MCC
-0.016612570410482787	Onecut	shared	MCC
0.27635940792302754	Onecut	inactive	MCC
-0.3611789228034649	Onecut	early	MCC
0.794292881501371	Onecut	late	MCC
0.06662215705025787	Oct4	active	MCC
-0.046171866828446914	Oct4	shared	MCC
0.023653608907451853	Oct4	inactive	MCC
0.24980005369518665	Oct4	early	MCC
-0.012762478509478828	Oct4	late	MCC
0.4896136055181345	Zfp281	active	MCC
0.16312867476791068	Zfp281	shared	MCC
-0.21018510034889648	Zfp281	inactive	MCC
0.48435399593888845	Zfp281	early	MCC
-0.31941802916698236	Zfp281	late	MCC
-8.734775932414939E-5	Lhx3	active	MCC
0.28570817145463895	Lhx3	shared	MCC
0.13151937492308433	Lhx3	inactive	MCC
-0.46409418223896204	Lhx3	early	MCC
-0.3555943883201861	Lhx3	late	MCC
