# Genome version: Mus musculus (mm10)
#Peak_mid_point	subclass(label1#label2)
chr10:100017905	active;shared
chr10:105639433	active;shared
chr10:108239385	active;shared
chr10:108354564	active;shared
chr10:111595840	active;shared
chr10:114119033	active;shared
chr10:117004821	active;shared
chr10:117983087	active;shared
chr10:118113293	active;shared
chr10:119415191	active;shared
chr10:119415297	active;shared
chr10:120920999	active;shared
chr10:121467574	active;shared
chr10:121885769	active;shared
chr10:122757103	active;shared
chr10:122792093	active;shared
chr10:123195371	active;shared
chr10:123768806	active;shared
chr10:125785668	active;shared
chr10:125786016	active;shared
chr10:12615990	active;shared
chr10:126984954	active;shared
chr10:127060980	active;shared
chr10:127517145	active;shared
chr10:127731081	active;shared
chr10:127950832	active;shared
chr10:128247134	active;shared
chr10:130282287	active;shared
chr10:14018380	active;shared
chr10:17178860	active;shared
chr10:17478679	active;shared
chr10:17968815	active;shared
chr10:18506032	active;shared
chr10:19310315	active;shared
chr10:19819068	active;shared
chr10:19819320	active;shared
chr10:20153718	active;shared
chr10:20737456	active;shared
chr10:21082594	active;shared
chr10:21165617	active;shared
chr10:21467701	active;shared
chr10:21835215	active;shared
chr10:21848307	active;shared
chr10:21937686	active;shared
chr10:23783097	active;shared
chr10:24702957	active;shared
chr10:26804426	active;shared
chr10:26838107	active;shared
chr10:27616300	active;shared
chr10:28156226	active;shared
chr10:30406236	active;shared
chr10:37627131	active;shared
chr10:39228311	active;shared
chr10:40351324	active;shared
chr10:41467538	active;shared
chr10:43027271	active;shared
chr10:43106349	active;shared
chr10:4392172	active;shared
chr10:44464776	active;shared
chr10:44493364	active;shared
chr10:44520980	active;shared
chr10:45084661	active;shared
chr10:45611270	active;shared
chr10:46922899	active;shared
chr10:51257886	active;shared
chr10:52742848	active;shared
chr10:58648984	active;shared
chr10:58673194	active;shared
chr10:59354600	active;shared
chr10:59602161	active;shared
chr10:60287627	active;shared
chr10:60699028	active;shared
chr10:61226003	active;shared
chr10:61327351	active;shared
chr10:62228260	active;shared
chr10:63090263	active;shared
chr10:63417117	active;shared
chr10:67004250	active;shared
chr10:67015254	active;shared
chr10:67123051	active;shared
chr10:68352802	active;shared
chr10:69571551	active;shared
chr10:70154071	active;shared
chr10:70739015	active;shared
chr10:75849463	active;shared
chr10:77008480	active;shared
chr10:7873087	active;shared
chr10:79901195	active;shared
chr10:80841891	active;shared
chr10:82629235	active;shared
chr10:84286154	active;shared
chr10:84442458	active;shared
chr10:84467806	active;shared
chr10:84710950	active;shared
chr10:84911158	active;shared
chr10:85014495	active;shared
chr10:85361934	active;shared
chr10:85464384	active;shared
chr10:85476177	active;shared
chr10:86337961	active;shared
chr10:8826643	active;shared
chr10:92247026	active;shared
chr10:93083297	active;shared
chr10:93171154	active;shared
chr10:93636155	active;shared
chr10:93818673	active;shared
chr10:95043996	active;shared
chr10:95057106	active;shared
chr10:95075377	active;shared
chr10:95596084	active;shared
chr10:96334382	active;shared
chr10:9696780	active;shared
chr10:98958809	active;shared
chr1:105083748	active;shared
chr1:106072242	active;shared
chr1:106273154	active;shared
chr11:100518352	active;shared
chr11:100520892	active;shared
